time,bidPx_0,bidPx_1,bidPx_2,bidPx_3,bidPx_4,bidQty_0,bidQty_1,bidQty_2,bidQty_3,bidQty_4,askPx_0,askPx_1,askPx_2,askPx_3,askPx_4,askQty_0,askQty_1,askQty_2,askQty_3,askQty_4,date,time_elapsed
09:31:10.424000,9.96,9.95,9.94,9.93,9.92,100,105,48,100,30,10.0,10.01,10.02,10.05,10.08,200,516,100,800,100,2019-10-03,34270.424
09:31:10.424000,9.96,9.95,9.94,9.93,9.92,100,105,48,100,30,10.0,10.01,10.02,10.05,10.08,100,516,100,800,100,2019-10-03,34270.424
09:31:10.587000,9.96,9.95,9.94,9.93,9.92,100,105,148,100,30,10.0,10.01,10.02,10.05,10.08,100,516,100,800,100,2019-10-03,34270.587
09:31:10.587000,9.96,9.95,9.94,9.93,9.92,100,105,148,100,30,10.01,10.02,10.05,10.08,10.1,516,100,800,100,5414,2019-10-03,34270.587
09:31:10.587000,9.99,9.98,9.97,9.96,9.95,100,10,300,100,105,10.0,10.01,10.02,10.05,10.09,100,516,100,800,100,2019-10-03,34270.587
09:31:10.587000,9.99,9.98,9.97,9.96,9.95,100,10,300,100,105,10.01,10.02,10.05,10.09,10.1,516,100,800,100,5414,2019-10-03,34270.587
09:31:10.588000,9.99,9.98,9.97,9.96,9.95,200,110,400,100,105,10.01,10.02,10.05,10.09,10.1,516,100,800,100,5414,2019-10-03,34270.588
09:31:12.110000,9.96,9.95,9.94,9.93,9.92,300,5,148,100,30,10.0,10.01,10.02,10.05,10.08,800,516,100,800,100,2019-10-03,34272.11
09:31:22.148000,9.97,9.96,9.95,9.94,9.93,100,300,5,148,200,10.0,10.01,10.02,10.04,10.05,600,316,100,100,800,2019-10-03,34282.148
09:31:22.148000,9.97,9.96,9.95,9.94,9.93,100,300,5,148,200,10.0,10.01,10.02,10.04,10.05,200,316,100,100,800,2019-10-03,34282.148
09:31:22.167000,9.97,9.96,9.95,9.94,9.93,100,200,5,148,200,10.0,10.01,10.02,10.04,10.05,100,316,100,100,800,2019-10-03,34282.167
09:31:22.167000,9.97,9.96,9.95,9.94,9.93,100,200,5,148,200,10.01,10.02,10.04,10.05,10.1,316,100,100,800,5414,2019-10-03,34282.167
09:31:28.161000,10.0,9.98,9.96,9.95,9.94,100,200,100,105,300,10.01,10.04,10.07,10.1,10.16,200,100,800,5414,1100,2019-10-03,34288.161
09:31:28.161000,10.0,9.98,9.96,9.95,9.94,100,200,100,105,300,10.01,10.04,10.07,10.1,10.16,100,100,800,5414,1100,2019-10-03,34288.161
09:31:28.161000,10.0,9.98,9.96,9.95,9.94,112,200,100,105,300,10.04,10.07,10.1,10.16,10.18,100,800,5414,1100,11100,2019-10-03,34288.161
09:31:28.409000,10.0,9.98,9.96,9.95,9.94,300,100,100,105,300,10.06,10.07,10.1,10.18,10.21,100,800,5414,11100,1100,2019-10-03,34288.409
09:31:28.410000,10.02,10.01,10.0,9.98,9.96,112,400,300,100,100,10.03,10.06,10.07,10.1,10.18,100,100,800,5414,11100,2019-10-03,34288.41
09:31:28.410000,10.02,10.01,10.0,9.98,9.96,100,400,300,100,100,10.06,10.07,10.1,10.18,10.21,100,800,5414,11100,1100,2019-10-03,34288.41
09:31:29.538000,10.01,10.0,9.96,9.95,9.94,100,200,100,105,400,10.05,10.09,10.1,10.12,10.18,100,800,5414,100,11100,2019-10-03,34289.538
09:31:38.506000,10.03,10.01,10.0,9.99,9.98,200,148,200,100,100,10.05,10.09,10.1,10.18,10.21,600,900,5414,11100,1100,2019-10-03,34298.506
09:31:48.442000,10.03,10.02,10.01,10.0,9.99,100,100,248,100,100,10.04,10.05,10.08,10.09,10.1,300,100,100,800,5414,2019-10-03,34308.442
09:31:48.442000,10.02,10.01,10.0,9.99,9.98,100,248,100,100,100,10.04,10.05,10.08,10.09,10.1,300,100,100,800,5414,2019-10-03,34308.442
09:32:00.380000,10.01,10.0,9.99,9.98,9.97,248,100,100,200,100,10.03,10.04,10.05,10.06,10.08,300,300,100,100,200,2019-10-03,34320.38
09:32:00.390000,10.01,10.0,9.99,9.98,9.97,148,100,100,200,100,10.02,10.03,10.04,10.05,10.06,2500,400,300,237,100,2019-10-03,34320.39
09:32:00.390000,10.01,10.0,9.99,9.98,9.97,100,100,100,200,100,10.02,10.03,10.04,10.05,10.06,2500,400,300,237,100,2019-10-03,34320.39
09:32:00.390000,10.0,9.99,9.98,9.97,9.96,100,100,200,100,300,10.02,10.03,10.04,10.05,10.06,2500,400,300,237,100,2019-10-03,34320.39
09:32:01.980000,9.99,9.98,9.97,9.96,9.95,100,200,100,200,5,10.01,10.02,10.03,10.04,10.05,1600,200,300,1000,337,2019-10-03,34321.98
09:32:05.543000,9.99,9.98,9.97,9.96,9.95,100,100,100,200,5,10.0,10.01,10.02,10.03,10.04,723,400,100,100,1000,2019-10-03,34325.543
09:32:05.543000,9.99,9.98,9.97,9.96,9.95,100,100,100,200,5,10.0,10.01,10.02,10.03,10.04,500,400,100,100,1000,2019-10-03,34325.543
09:32:05.543000,9.99,9.98,9.97,9.96,9.95,100,100,100,200,5,10.01,10.02,10.03,10.04,10.05,400,100,100,1000,1137,2019-10-03,34325.543
09:32:05.543000,9.99,9.98,9.97,9.96,9.95,1400,200,100,200,5,10.01,10.02,10.03,10.04,10.05,400,100,100,1000,1137,2019-10-03,34325.543
09:32:09.686000,10.0,9.99,9.98,9.97,9.96,700,300,200,100,200,10.01,10.02,10.03,10.04,10.05,302,100,100,1000,1037,2019-10-03,34329.686
09:32:09.686000,10.0,9.99,9.98,9.97,9.96,700,300,200,100,200,10.01,10.02,10.03,10.04,10.05,300,100,100,1000,1037,2019-10-03,34329.686
09:32:09.686000,10.0,9.99,9.98,9.97,9.96,700,300,200,100,200,10.01,10.02,10.03,10.04,10.05,100,100,100,1000,1037,2019-10-03,34329.686
09:32:09.686000,10.0,9.99,9.98,9.97,9.96,700,300,200,100,200,10.01,10.02,10.03,10.04,10.05,2,100,100,1000,1037,2019-10-03,34329.686
09:32:09.686000,10.0,9.99,9.98,9.97,9.96,700,300,200,100,200,10.02,10.03,10.04,10.05,10.06,100,100,1000,1037,200,2019-10-03,34329.686
09:32:09.875000,10.01,10.0,9.99,9.98,9.97,100,200,300,200,200,10.03,10.04,10.05,10.06,10.07,61,1000,200,1000,100,2019-10-03,34329.875
09:32:09.877000,10.02,10.01,10.0,9.99,9.98,200,100,200,300,200,10.04,10.05,10.06,10.07,10.08,1000,200,1000,100,1000,2019-10-03,34329.877
09:32:10.800000,10.02,10.01,10.0,9.99,9.98,100,100,300,300,200,10.03,10.04,10.05,10.06,10.07,100,100,200,1000,100,2019-10-03,34330.8
09:32:10.800000,10.02,10.01,10.0,9.99,9.98,100,100,300,300,200,10.04,10.05,10.06,10.07,10.08,100,200,1000,100,1000,2019-10-03,34330.8
09:32:10.975000,10.02,10.01,10.0,9.99,9.98,200,200,200,300,200,10.05,10.06,10.07,10.08,10.09,200,1000,100,900,100,2019-10-03,34330.975
09:32:11.856000,10.02,10.01,10.0,9.99,9.98,200,200,200,500,200,10.04,10.05,10.06,10.07,10.08,300,200,1000,100,900,2019-10-03,34331.856
09:32:12.901000,10.02,10.01,10.0,9.99,9.98,100,200,200,500,200,10.04,10.05,10.06,10.07,10.08,300,200,1000,100,900,2019-10-03,34332.901
09:32:12.901000,10.02,10.01,10.0,9.99,9.98,100,200,200,500,200,10.04,10.05,10.06,10.07,10.08,200,200,1000,100,900,2019-10-03,34332.901
09:32:12.901000,10.02,10.01,10.0,9.99,9.98,100,200,200,500,200,10.04,10.05,10.06,10.07,10.08,100,200,1000,100,900,2019-10-03,34332.901
09:32:12.901000,10.02,10.01,10.0,9.99,9.98,100,200,200,500,200,10.05,10.06,10.07,10.08,10.09,200,1000,100,900,200,2019-10-03,34332.901
09:32:13.069000,10.03,10.02,10.01,10.0,9.99,100,200,200,200,500,10.04,10.05,10.06,10.07,10.08,200,200,1000,100,900,2019-10-03,34333.069
09:32:13.069000,10.03,10.02,10.01,10.0,9.99,100,200,200,200,500,10.04,10.05,10.06,10.07,10.08,100,200,1000,100,900,2019-10-03,34333.069
09:32:13.069000,10.03,10.02,10.01,10.0,9.99,100,200,200,200,500,10.05,10.06,10.07,10.08,10.09,200,1000,100,900,100,2019-10-03,34333.069
09:32:13.071000,10.04,10.03,10.02,10.01,10.0,10,200,100,200,200,10.05,10.06,10.07,10.08,10.09,100,1000,100,900,100,2019-10-03,34333.071
09:32:13.071000,10.03,10.02,10.01,10.0,9.99,200,100,200,200,500,10.05,10.06,10.07,10.08,10.09,100,1000,100,900,100,2019-10-03,34333.071
09:32:23.211000,10.03,10.02,10.01,10.0,9.99,300,200,300,200,400,10.04,10.05,10.06,10.07,10.08,10,100,1000,100,1000,2019-10-03,34343.211
09:32:23.211000,10.03,10.02,10.01,10.0,9.99,300,200,300,200,400,10.05,10.06,10.07,10.08,10.09,100,1000,100,1000,200,2019-10-03,34343.211
09:32:31.178000,10.04,10.03,10.02,10.01,10.0,100,300,200,300,200,10.07,10.08,10.09,10.1,10.11,100,200,1000,6314,1100,2019-10-03,34351.178
09:32:31.178000,10.05,10.04,10.03,10.02,10.01,24,200,300,200,300,10.06,10.08,10.09,10.1,10.11,300,200,1000,6314,1100,2019-10-03,34351.178
09:32:31.178000,10.04,10.03,10.02,10.01,10.0,200,300,200,300,1100,10.06,10.08,10.09,10.1,10.11,376,200,1000,6314,1100,2019-10-03,34351.178
