id,time,side,price,qty,xchTime,date,time_elapsed
188,09:30:00.794000,,9.97,28204,34200794,2019-10-04,34200.794
492,09:30:15.551000,SELL,9.89,399,34215551,2019-10-04,34215.551
730,09:31:08.839000,SELL,9.91,100,34268839,2019-10-04,34268.839
770,09:31:08.874000,SELL,9.9,200,34268874,2019-10-04,34268.874
796,09:31:09.041000,SELL,9.9,1400,34269041,2019-10-04,34269.041
828,09:31:09.194000,BUY,9.9,400,34269194,2019-10-04,34269.194
992,09:31:38.818000,SELL,9.89,401,34298818,2019-10-04,34298.818
994,09:31:38.818000,SELL,9.89,200,34298818,2019-10-04,34298.818
1011,09:31:38.907000,SELL,9.88,500,34298907,2019-10-04,34298.907
1051,09:31:39.584000,SELL,9.87,200,34299584,2019-10-04,34299.584
1141,09:31:45.125000,BUY,9.88,200,34305125,2019-10-04,34305.125
1186,09:31:47.372000,BUY,9.89,200,34307372,2019-10-04,34307.372
1190,09:31:47.372000,BUY,9.89,10,34307372,2019-10-04,34307.372
1340,09:32:59.231000,BUY,9.9,300,34379231,2019-10-04,34379.231
1378,09:32:59.282000,BUY,9.91,200,34379282,2019-10-04,34379.282
1382,09:32:59.282000,BUY,9.91,100,34379282,2019-10-04,34379.282
1384,09:32:59.282000,BUY,9.91,200,34379282,2019-10-04,34379.282
1396,09:32:59.282000,SELL,9.91,2300,34379282,2019-10-04,34379.282
1398,09:32:59.282000,SELL,9.91,300,34379282,2019-10-04,34379.282
1479,09:33:10.601000,BUY,9.91,600,34390601,2019-10-04,34390.601
1484,09:33:10.601000,BUY,9.91,100,34390601,2019-10-04,34390.601
1486,09:33:10.601000,BUY,9.91,100,34390601,2019-10-04,34390.601
1636,09:33:35.948000,SELL,9.92,1603,34415948,2019-10-04,34415.948
1530,09:33:11.260000,BUY,9.92,100,34391260,2019-10-04,34391.26
1642,09:33:35.948000,SELL,9.92,200,34415948,2019-10-04,34415.948
1645,09:33:35.948000,SELL,9.92,497,34415948,2019-10-04,34415.948
1647,09:33:35.948000,SELL,9.92,100,34415948,2019-10-04,34415.948
